longitude, latitude, index
12.45226,41.90977,0
12.45491,41.91042,0
12.45558,41.9076,0
12.4556,41.90754,0
12.45584,41.90647,0
12.45586,41.90642,0
12.45588,41.9064,0
12.4559,41.90637,0
12.45595,41.90632,0
12.45611,41.90627,0
12.45642,41.90623,0
12.45781,41.9059,0
12.45818,41.90583,0
12.45836,41.90582,0
12.4589,41.90576,0
12.45919,41.90562,0
12.46107,41.90495,0
12.46157,41.90474,0
12.46319,41.90416,0
12.46311,41.90364,0
12.46308,41.90333,0
12.46295,41.9025,0
12.46295,41.90244,0
12.46294,41.90237,0
12.46295,41.90224,0
12.46296,41.90222,0
12.46302,41.90216,0
12.46347,41.90182,0
12.46362,41.90168,0
12.46379,41.90154,0
12.46372,41.90148,0
12.46363,41.90142,0
12.46352,41.90133,0
12.46347,41.9013,0
12.46343,41.90125,0
12.46334,41.90121,0
12.46319,41.90106,0
12.46314,41.90099,0
12.46312,41.90098,0
12.46307,41.90091,0
12.46306,41.90087,0
12.46299,41.90076,0
12.46287,41.90053,0
12.46271,41.90004,0
12.46269,41.89994,0
12.46263,41.89983,0
12.46256,41.89979,0
12.46256,41.89969,0
12.46254,41.89964,0
12.46253,41.8996,0
12.46253,41.89954,0
12.46271,41.89897,0
12.46271,41.89895,0
12.46281,41.8988,0
12.46283,41.89878,0
12.46292,41.89862,0
12.46295,41.89861,0
12.46296,41.8986,0
12.46301,41.8986,0
12.46303,41.89862,0
12.46327,41.8983,0
12.46333,41.89825,0
12.46476,41.89638,0
12.46506,41.89602,0
12.46552,41.8956,0
12.46578,41.89541,0
12.46604,41.89524,0
12.46606,41.89522,0
12.46965,41.8924,0
12.47005,41.89204,0
12.47031,41.89185,0
12.47038,41.89181,0
12.47066,41.8916,0
12.471,41.89137,0
12.47134,41.89118,0
12.47137,41.89117,0
12.47174,41.89098,0
12.47185,41.89094,0
12.47189,41.8909,0
12.47255,41.89068,0
12.4731,41.89056,0
12.47479,41.89028,0
12.47582,41.89002,0
12.47663,41.88973,0
12.47718,41.88956,0
12.47731,41.88951,0
12.47736,41.8895,0
12.4776,41.88941,0
12.47779,41.88938,0
12.4779,41.88934,0
12.478,41.88928,0
12.47809,41.88924,0
12.47812,41.88922,0
12.47814,41.88922,0
12.47818,41.88921,0
12.47912,41.88917,0
12.48009,41.88909,0
12.48016,41.88909,0
12.48022,41.88908,0
12.48026,41.88908,0
12.48026,41.88909,0
12.48027,41.88909,0
12.48027,41.88913,0
12.48022,41.88931,0
12.48022,41.88933,0
12.48016,41.88948,0
12.48015,41.88952,0
12.48016,41.88959,0
12.48014,41.88965,0
12.48001,41.88991,0
12.47991,41.89007,0
12.47975,41.89029,0
12.47974,41.89029,0
12.47962,41.89045,0
12.47962,41.89058,0
12.47961,41.89064,0
12.47964,41.89067,0
12.47965,41.89067,0
12.47968,41.8907,0
12.47971,41.8907,0
12.4798,41.89072,0
12.47982,41.89073,0
12.47983,41.89074,0
12.47985,41.89075,0
12.47988,41.89078,0
12.48031,41.89088,0
12.48034,41.89088,0
12.48049,41.8909,0
12.48101,41.88959,0
12.48112,41.88938,0
12.48131,41.88892,0
12.48135,41.88879,0
12.48143,41.88858,0
12.4814,41.88849,0
12.48139,41.88841,0
12.48123,41.88814,0
12.48117,41.88801,0
12.48106,41.88781,0
12.48165,41.8876,0
12.48176,41.88759,0
12.48195,41.88745,0
12.4828,41.88675,0
12.48354,41.88621,0
12.48363,41.88616,0
12.48382,41.88597,0
12.48429,41.88567,0
12.4844,41.88557,0
12.48489,41.88528,0
12.48511,41.8852,0
12.48547,41.88503,0
12.48554,41.88499,0
12.4856,41.88498,0
12.48565,41.88494,0
12.48575,41.88489,0
12.48637,41.88451,0
12.4864,41.8845,0
12.48689,41.8842,0
12.48711,41.88408,0
12.48719,41.88405,0
12.48757,41.88381,0
12.48793,41.88361,0
12.48818,41.88349,0
12.48823,41.88352,0
12.48861,41.88383,0
12.48884,41.884,0
12.48906,41.8842,0
12.48916,41.88431,0
12.4892,41.88439,0
12.48926,41.88447,0
12.48932,41.88457,0
12.4894,41.88475,0
12.4894,41.88477,0
12.48942,41.88483,0
12.48942,41.88496,0
12.48941,41.88503,0
12.48941,41.88508,0
12.48944,41.88523,0
12.4896,41.88583,0
12.48985,41.88664,0
12.4899,41.88686,0
12.48993,41.88695,0
12.49002,41.88734,0
12.49009,41.88755,0
12.49035,41.88846,0
12.4904,41.88853,0
12.49043,41.88856,0
12.49093,41.88895,0
12.49094,41.88895,0
12.49115,41.88906,0
12.49135,41.88912,0
12.4914,41.88914,0
12.49154,41.88916,0
12.49158,41.88917,0
12.49175,41.88919,0
12.49314,41.88919,0
12.49335,41.88924,0
12.49345,41.88928,0
12.49366,41.88939,0
12.49375,41.88946,0
12.49378,41.88949,0
12.49389,41.88967,0
12.49407,41.89012,0
12.49416,41.89031,0
12.49418,41.89033,0
12.49421,41.89039,0
12.49423,41.89046,0
12.49423,41.89047,0
12.49425,41.89051,0
12.4927,41.89105,0
12.4926,41.89107,0
12.49257,41.89108,0
12.49131,41.89125,0
12.49105,41.8913,0
12.49131,41.89125,0
12.49257,41.89108,0
12.4926,41.89107,0
12.4927,41.89105,0
12.49425,41.89051,0
12.4946,41.89056,0
12.4984,41.88985,0
12.4985,41.88984,0
12.50082,41.88939,0
12.50087,41.88939,0
12.50168,41.88923,0
12.50185,41.88921,0
12.50189,41.88922,0
12.50218,41.88921,0
12.50247,41.88923,0
12.50251,41.88924,0
12.50256,41.88924,0
12.50278,41.88929,0
12.50338,41.88948,0
12.50302,41.89006,0
12.50223,41.89144,0
12.50217,41.89157,0
12.50147,41.89284,0
12.50144,41.89288,0
12.50129,41.89316,0
12.50129,41.89317,0
12.50022,41.89504,0
12.49807,41.89503,0
12.49796,41.89504,0
12.49533,41.89507,0
12.49477,41.89502,0
12.49468,41.895,0
12.49465,41.895,0
12.49372,41.89479,0
12.49351,41.89496,0
12.49599,41.89735,0
12.49574,41.89732,0
12.4956,41.89729,0
12.49549,41.89728,0
